(aliatte)  ✘ zk@E211  /disk4/zk/charmsftp/ali_attention  /disk2/zk/sw/Anaconda2/envs/aliatte/bin/python /disk4/zk/charmsftp/ali_attention/GeniePath-pytorch/ppi_sgeniepath.py
Epoch: 01, Loss: 0.5727, Val: 0.4237, Test: 0.4248
Epoch: 02, Loss: 0.5294, Val: 0.5169, Test: 0.5218
Epoch: 03, Loss: 0.4940, Val: 0.5618, Test: 0.5715
Epoch: 04, Loss: 0.4472, Val: 0.6187, Test: 0.6313
Epoch: 05, Loss: 0.3974, Val: 0.6829, Test: 0.6974
Epoch: 06, Loss: 0.3405, Val: 0.7332, Test: 0.7521
Epoch: 07, Loss: 0.2827, Val: 0.7782, Test: 0.8001
Epoch: 08, Loss: 0.2273, Val: 0.8328, Test: 0.8538
Epoch: 09, Loss: 0.1799, Val: 0.8731, Test: 0.8924
Epoch: 10, Loss: 0.1410, Val: 0.8912, Test: 0.9117
Epoch: 11, Loss: 0.1167, Val: 0.9138, Test: 0.9324
Epoch: 12, Loss: 0.0917, Val: 0.9273, Test: 0.9443
Epoch: 13, Loss: 0.0757, Val: 0.9372, Test: 0.9526
Epoch: 14, Loss: 0.0639, Val: 0.9449, Test: 0.9603
Epoch: 15, Loss: 0.0548, Val: 0.9509, Test: 0.9656
Epoch: 16, Loss: 0.0476, Val: 0.9542, Test: 0.9672
Epoch: 17, Loss: 0.0426, Val: 0.9550, Test: 0.9686
Epoch: 18, Loss: 0.0397, Val: 0.9576, Test: 0.9708
Epoch: 19, Loss: 0.0366, Val: 0.9602, Test: 0.9728
Epoch: 20, Loss: 0.0345, Val: 0.9609, Test: 0.9734
Epoch: 21, Loss: 0.0328, Val: 0.9602, Test: 0.9727
Epoch: 22, Loss: 0.0309, Val: 0.9608, Test: 0.9738
Epoch: 23, Loss: 0.0296, Val: 0.9625, Test: 0.9742
Epoch: 24, Loss: 0.0284, Val: 0.9627, Test: 0.9744
Epoch: 25, Loss: 0.0268, Val: 0.9640, Test: 0.9756
Epoch: 26, Loss: 0.0256, Val: 0.9648, Test: 0.9764
Epoch: 27, Loss: 0.0243, Val: 0.9646, Test: 0.9761
Epoch: 28, Loss: 0.0238, Val: 0.9656, Test: 0.9768
Epoch: 29, Loss: 0.0236, Val: 0.9650, Test: 0.9761
Epoch: 30, Loss: 0.0232, Val: 0.9648, Test: 0.9763
Epoch: 31, Loss: 0.0227, Val: 0.9650, Test: 0.9764
Epoch: 32, Loss: 0.0223, Val: 0.9656, Test: 0.9765
Epoch: 33, Loss: 0.0219, Val: 0.9658, Test: 0.9767
Epoch: 34, Loss: 0.0214, Val: 0.9664, Test: 0.9772
Epoch: 35, Loss: 0.0217, Val: 0.9651, Test: 0.9766
Epoch: 36, Loss: 0.0213, Val: 0.9660, Test: 0.9772
Epoch: 37, Loss: 0.0211, Val: 0.9652, Test: 0.9766
Epoch: 38, Loss: 0.0214, Val: 0.9651, Test: 0.9760
Epoch: 39, Loss: 0.0217, Val: 0.9652, Test: 0.9763
Epoch: 40, Loss: 0.0215, Val: 0.9650, Test: 0.9768
Epoch: 41, Loss: 0.0213, Val: 0.9651, Test: 0.9765
Epoch: 42, Loss: 0.0210, Val: 0.9653, Test: 0.9768
Epoch: 43, Loss: 0.0213, Val: 0.9656, Test: 0.9770
Epoch: 44, Loss: 0.0221, Val: 0.9631, Test: 0.9750
Epoch: 45, Loss: 0.0235, Val: 0.9628, Test: 0.9747
Epoch: 46, Loss: 0.0297, Val: 0.9541, Test: 0.9674
Epoch: 47, Loss: 0.0402, Val: 0.9439, Test: 0.9613
Epoch: 48, Loss: 0.0533, Val: 0.9425, Test: 0.9575
Epoch: 49, Loss: 0.0536, Val: 0.9403, Test: 0.9570
Epoch: 50, Loss: 0.0456, Val: 0.9511, Test: 0.9649
Epoch: 51, Loss: 0.0369, Val: 0.9584, Test: 0.9716
Epoch: 52, Loss: 0.0286, Val: 0.9630, Test: 0.9751
Epoch: 53, Loss: 0.0238, Val: 0.9647, Test: 0.9765
Epoch: 54, Loss: 0.0219, Val: 0.9657, Test: 0.9770
